"id","Name","City","Country","IATA","Latitude","Longitude"
"3606","Charleston Air Force Base-International Airport","Charleston","United States","CHS","32.89860153","-80.04049683"
"5706","Takaka Airport","Takaka","New Zealand","KTF","-40.81330109","172.7749939"
"8381","Wenshan","Wenshan Zhuangzumiaozuzizhizhou","China","WNH","23.373","104.249"
"976","N'Djamena International Airport","N'djamena","Chad","NDJ","12.1337","15.034"
"5313","Spirit of St Louis Airport","Null","United States","SUS","38.66210175","-90.65200043"
"2776","Khabarovsk-Novy Airport","Khabarovsk","Russia","KHV","48.52799988","135.1880035"
"8813","Las Cruces Airport","","Colombia","SNT","7.38322","-73.505402"
"10076","Arboletes Airport","Arboletes","Colombia","ARO","8.85705","-76.4244"
"1595","Humberto Delgado Airport (Lisbon Portela Airport)","Lisbon","Portugal","LIS","38.7813","-9.13592"
"7182","Juan Simons Vela Airport","Rioja","Peru","RIJ","-6.067860126","-77.16000366"
"954","Lichinga Airport","Lichinga","Mozambique","VXC","-13.274","35.2663"
"2443","Francisco Vilela do Amaral Airport","Itumbiara","Brazil","ITR","-18.44470024","-49.21340179"
"5224","Montrose Regional Airport","Montrose CO","United States","MTJ","38.50979996","-107.8939972"
"3104","Sultan Abdul Halim Airport","Alor Setar","Malaysia","AOR","6.189670086","100.3980026"
"9986","Hayfields Airport","Hayfield","Papua New Guinea","HYF","-3.69838","143.057902"
"7044","Mangochi Airport","Mangochi","Malawi","MAI","-14.4829998","35.26699829"
"9755","Francisco Primo de Verdad y Ramos Airport","Santa Rosa","Mexico","LOM","21.258983","-101.943758"
"1794","Cancún International Airport","Cancun","Mexico","CUN","21.03650093","-86.87709808"
"5310","Prince Rupert/Seal Cove Seaplane Base","Prince Rupert","Canada","ZSW","54.33330154","-130.2830048"
"4975","Changzhi Airport","Changzhi","China","CIH","36.247501","113.125999"
"9694","Nephi Municipal Airport","Nephi","United States","NPH","39.73880005","-111.8720016"
"10502","Eva Downs Airport","","","EVD","-18.00099945","134.8630066"
"6441","Bijie Feixiong Airport","Bijie","China","BFJ","27.267066","105.472097"
"4205","Quaqtaq Airport","Quaqtaq","Canada","YQC","61.04639816","-69.61779785"
"4903","Griffith Airport","Griffith","Australia","GFF","-34.25080109","146.0670013"
"2703","La Fria Airport","La Fria","Venezuela","LFR","8.239167213","-72.27102661"
"9982","Anguganak Airport","Yemnu","Papua New Guinea","AKG","-3.560504","142.217307"
"750","Flugplatz Kitzingen","Kitzingen","Germany","KZG","49.743099","10.2006"
"8375","CASTRO/GAMBOA","Castro","Chile","WCA","-42.485","-73.7722"
"357","Siegerland Airport","Siegerland","Germany","SGE","50.70769882","8.082969666"
"2650","Comandante FAP German Arias Graziani Airport","Anta","Peru","ATA","-9.347439766","-77.5983963"
"9239","Pakyong Airport","Pakyong","India","PYG","27.2313","88.587196"
"9476","Goshen Municipal Airport","Goshen","United States","GSH","41.52640152","-85.79290009"
"430","Kauhajoki Airport","Kauhajoki","Finland","KHJ","62.46250153","22.39310074"
"3753","Panevėžys Air Base","Panevezys","Lithuania","PNV","55.72940063","24.46080017"
"7886","Hollis","Hollis","United States","HYL","55.4816","-132.6461"
"3830","Appleton International Airport","Appleton","United States","ATW","44.2580986","-88.51909637"
"9445","Farmington Regional Airport","Farmington","United States","FAM","37.76110077","-90.4285965"
"4684","Toledo Airport","Toledo","Brazil","TOW","-24.6863","-53.697498"
"1591","Pico Airport","Pico","Portugal","PIX","38.554298","-28.441299"
"8180","GUAIRA","","Brazil","QGA","-24.0792","-54.1875"
"7772","Chicken","Chicken","United States","CKX","64.0713","-141.9523"
"8929","Sabi Sabi Airport","Sabie Park","South Africa","GSS","-24.94737543","31.44884777"
"3432","Wright AAF (Fort Stewart)/Midcoast Regional Airport","Wright","United States","LIY","31.889099","-81.562303"
"2030","Omidiyeh Airport","Omidyeh","Iran","OMI","30.83519936","49.53490067"
"5364","Orcas Island Airport","Eastsound","United States","ESD","48.70819855","-122.9100037"
"10046","Espinosa Airport","","Brazil","ESI","-14.93369444","-42.81"
"6873","Karl Stefan Memorial Airport","Norfolk  Nebraska","United States","OFK","41.98550034","-97.43509674"
"814","Newcastle Airport","Newcastle","South Africa","NCS","-27.77059937","29.9769001"
"2505","Eurico de Aguiar Salles Airport","Vitoria","Brazil","VIX","-20.258057","-40.286388"
"10275","Dongsha Island (Pratas Island) Airport","","","DSX","20.7066","116.721001"
"9159","Haibei Qilian Airport","Haibei Zangzuzizhizhou","China","HBQ","38.012","100.644"
"4043","Cheddi Jagan International Airport","Georgetown","Guyana","GEO","6.498549938","-58.2541008"
"6769","Hechi Jinchengjiang Airport","Hechi","China","HCJ","24.805","107.6997"
"1926","Raiatea Airport","Raiatea Island","French Polynesia","RFP","-16.7229","-151.466003"
"6620","Plínio Alarcom Airport","Tres Lagoas","Brazil","TJL","-20.75419998","-51.68420029"
"4477","Pécs-Pogány Airport","Pécs-Pogány","Hungary","PEV","45.990898","18.240996"
"7894","INGHAM","Ingham","Australia","IGH","-18.6656","146.1475"
"4107","Longjia Airport","Changchun","China","CGQ","43.99620056","125.6849976"
"7555","Shirdi Airport","Shirdi","India","SAG","19.688611","74.378889"
"2236","Tokushima Airport/JMSDF Air Base","Tokushima","Japan","TKS","34.132801","134.606995"
"4408","Athens Ben Epps Airport","Athens","United States","AHN","33.94860077","-83.32630157"
"943","Lambarene Airport","Lambarene","Gabon","LBQ","-0.704388976","10.24569988"
"9824","Flamingo Airport","Brasilito","Costa Rica","FMG","10.41860008","-85.78269958"
"6161","General Villamil Airport","Isabela","Ecuador","IBB","-0.942628026","-90.95300293"
